id	SR1	SR2	SR3	SR4	SR5	SR6	SR7	SR8	SR9	SR10	SR11	SR12	SR13	SR14	SR15	SR16	SR17	SR18	SR19	SR20	SR21	SR22	SR23	SR24	SRF1	SRf2	SRF3	SRF4	SRF5	SRF6	SRF7	SRF8	SRF9	SRF10	SRF11	SRF12	SRF13	SRF14	SRF15	SRF16	SS1	SS2	SS3	SS4	SS5	SS6	SS7	SS8	SS9	SS10	SS11	SS12	SS13	SSF1	SSF2	SSF3	SSF4	SSF5	C1	C2	C3	C4	C5	C6	C7	C8	C9	C10
hsa-miR-138-2-3p	-5.33	-4.15	-1.71	0.81	-3.58	0.81	0.81	0.81	0.81	0.81	0.81	-4.09	-4.71	-3.8	-5.7	-4.94	-4.68	0.81	0.81	0.81	0.81	0.81	-4.55	-4.93	0.81	0.81	-4.32	0.81	-4.06	-4.52	-4.76	-4.03	-1.6	-4.58	0.81	0.81	2.69	-5.03	-4.21	0.81	-5.37	-5.18	-3.92	-4.68	0.81	-0.43	0.81	-5.19	-4.55	-1.52	-0.95	-3.8	-4.4	-4.92	0.81	0.81	0.43	-2.74	-3.4	-4.62	-4.46	0.54	0.81	-1.26	0.81	0.81	0.81	0.81
hsa-miR-129-2-3p	-6.13	-4.95	-5.88	0	-4.38	0	0	0	0	0	4.27	-4.89	-0.99	-4.61	-2.03	-0.91	-0.76	0	0	0	4.35	4.13	-1.03	-1.38	0	0	-5.13	0	-0.69	-0.9	-1.34	-0.31	-1.2	-0.83	0	0	-4.64	-1.3	-0.68	4.6	-1.58	-1.73	-4.72	-5.48	0	-5.72	0	-1.18	-0.72	-0.09	0.24	0.22	0.17	-1.1	5.5	4.8	0.22	1.71	-4.2	-1.01	-0.81	-6.51	0	-5.46	0	0	0	0
hsa-miR-140-5p	0.89	-4.95	-0.46	0	-4.38	0	0	0	0	0	0	-4.89	-0.85	-4.61	1.34	-5.74	0.35	0	0	0	0	0	-1.18	-0.63	0	0	-5.13	0	-4.87	-5.33	-5.57	-4.84	-1.27	-5.39	0	0	0.17	1.38	0.72	0	-6.18	-5.99	-4.72	-5.48	4.56	-5.72	0	0.41	-5.36	-5.64	-5.08	-4.61	-5.2	-0.34	0	0	-5.23	-3.54	0.32	-5.43	-5.27	0.11	0	-5.46	0	0	0	0
hsa-miR-144-5p	-0.59	-3.62	-4.54	1.33	-3.05	1.33	1.33	1.33	1.33	1.33	1.33	-3.56	-4.18	-3.27	2.13	-4.41	-0.34	1.33	1.33	1.33	1.33	1.33	-4.02	-4.4	1.33	1.33	-3.79	1.33	-3.53	-4	-4.23	-3.5	-4.39	-4.05	1.33	1.33	-3.31	1.11	-3.68	1.33	-4.84	-4.65	-3.39	-4.15	1.33	-4.38	1.33	-4.66	-4.03	-4.31	-3.74	-3.27	-3.87	0.34	1.33	1.33	-3.89	-2.21	-2.87	-4.09	-3.93	-5.17	1.33	-4.13	1.33	1.33	1.33	1.33
hsa-miR-129-1-3p	-6.12	-4.94	-5.87	0.01	-4.37	0.01	0.01	0.01	0.01	0.01	4.08	-4.88	-1.08	-4.6	-1.91	-0.23	-0.01	0.01	0.01	0.01	4.4	4.3	-0.8	-1.03	0.01	0.01	-5.12	0.01	-0.75	-0.68	-1.02	-0.42	-1.35	-0.8	0.01	0.01	-4.63	-1.38	-0.82	4.6	-1.79	-1.56	-4.71	-5.47	0.01	-5.71	0.01	-0.51	-0.84	-0.2	0.24	-0.05	0.18	-1.16	4.9	4.49	-0.37	1.04	-4.19	-0.8	-0.73	-6.5	0.01	-5.45	0.01	0.01	0.01	0.01
hsa-miR-125b-5p	-0.2	0.79	-4.57	1.3	-3.08	1.3	1.3	1.3	1.3	1.3	1.3	-3.59	-4.21	-3.3	-0.89	-4.44	-4.18	1.3	1.3	1.3	1.3	1.3	-4.05	0.19	1.3	1.3	-3.82	1.3	-3.56	-4.03	-4.26	-3.53	-4.42	-4.08	1.3	1.3	-3.34	1.96	-3.71	1.3	-4.87	-4.68	-3.42	-4.18	1.3	-4.41	1.3	-4.69	-4.05	-4.34	-3.77	-3.3	-3.9	-0.19	1.3	1.3	-3.92	-2.24	-2.9	-4.12	-3.96	-5.2	1.3	-4.16	1.3	1.3	1.3	1.3
hsa-miR-1202	-6.13	-4.95	-1.51	0	-4.38	0	0	0	0	0	0	1.13	1.31	2.1	2.47	1.2	-0.16	0	0	0	0	0	1.02	0.71	0	0	1.3	0	0.62	-5.33	1.93	0.73	1.75	0.61	0	0	1.54	1.43	0.42	0	-6.18	-5.99	-4.72	-5.48	0	-5.72	0	0.38	0.38	0.1	-1.05	-4.61	-1.43	1.06	0	0	0.07	-3.54	1.8	1.27	0.91	-0.85	0	-0.1	0	0	0	0
hsa-miR-144-3p	-4.89	-3.71	-4.63	1.25	-3.14	1.25	1.25	1.25	1.25	1.25	1.25	-3.65	-4.27	-3.36	1.56	-4.5	-4.24	1.25	1.25	1.25	1.25	1.25	-4.11	-4.49	1.25	1.25	-3.88	1.25	-3.62	-4.08	-4.32	-3.59	-4.48	-4.14	1.25	1.25	-3.4	-4.59	-3.77	1.25	-4.93	-4.74	-3.48	-4.24	1.25	-4.47	1.25	0.72	-4.11	-4.4	-3.83	-3.36	-3.96	-0.32	1.25	1.25	-3.98	-2.3	-2.96	-4.18	-4.02	-5.26	1.25	-4.22	1.25	1.25	1.25	1.25
hsa-miR-1249-3p	-1.2	-5.31	-1.93	3.87	-4.74	-0.36	-0.36	-0.36	3.98	-0.36	3.72	0.47	-0.14	0.79	0.02	-0.1	0.04	-0.36	-0.36	-0.36	-0.36	3.77	0.44	0.02	4.63	4.17	0.36	5.19	0.51	-0.03	-0.03	0.63	0.22	0.05	5.27	3.62	0.84	0.02	0.27	5.18	-2.2	-1.72	-0.54	-1.12	-0.36	-6.07	-0.36	-0.23	0.25	-0.08	0.43	0.75	0.14	-0.25	5.34	5.32	0.2	1.76	1.03	0.24	0.29	-1.33	-0.36	0.03	-0.36	-0.36	-0.36	-0.36
hsa-miR-1237-3p	-6.13	-4.95	-5.88	0	-4.38	0	0	0	0	0	4.36	0.68	-0.03	-4.61	-0.96	-0.48	0.51	0	0	0	4.34	4.17	0.02	-0.05	0	0	-5.13	0	0.6	0.26	0.04	0.85	-0.11	0.39	0	0	-4.64	-0.24	0.33	5.82	-1.91	-1.77	-4.72	-5.48	0	-1.32	0	-0.04	0.58	0.3	0.92	1.25	0.66	0.12	5.92	5.92	0.75	2.22	-4.2	0.07	0.46	-2.26	0	-5.46	0	0	0	0
hsa-miR-1296-3p	-5.65	-4.47	-5.4	0.48	-3.9	0.48	0.48	0.48	0.48	0.48	0.48	-4.41	-5.04	-4.13	-6.02	-1.15	-5	0.48	0.48	0.48	0.48	0.48	-4.87	-5.26	0.48	0.48	-0.3	0.48	-4.38	-4.85	-5.08	-4.35	-5.24	-4.91	0.48	0.48	-4.16	-5.35	-4.53	0.48	0.36	0.3	-4.24	-5	0.48	-5.24	0.48	-5.51	-4.88	0.43	-4.6	-4.13	-4.72	-5.24	0.48	0.48	-4.75	-3.06	-3.72	-4.95	-4.79	-1.81	0.48	-4.98	0.48	0.48	0.48	0.48
hsa-miR-130b-3p	0.86	-4.95	0.68	0	-4.38	0	0	0	0	0	0	0.76	1.29	0.43	1.35	-0.65	1.07	0	0	0	0	0	1.21	2.18	3.94	0	1.76	6.06	0.89	1.14	0.98	0.43	1.53	-0.99	0	4.01	3.47	2.4	0.69	0	-6.18	-5.99	-4.72	-1.09	4.45	-5.72	0	0.97	0.28	-5.64	-0.8	0.25	-0.82	1.29	0	0	-0.27	-3.54	1.97	1.03	-0.46	0.01	0	1.53	0	0	0	0
hsa-miR-1238-5p	-0.75	-4.95	-0.35	0	-4.38	0	0	0	0	0	0	-4.89	-1.03	-4.61	-0.8	0.2	-0.2	0	0	0	0	0	-0.15	-1.24	0	0	-5.13	0	-0.78	0.12	-0.98	0.63	-1.29	-0.74	0	0	-4.64	-0.49	-0.64	4.5	0.16	0.25	-4.72	0.09	0	-0.14	0	-0.25	0.04	0.18	-0.03	0.61	0.1	-0.2	5.43	4.46	0.05	1.55	-4.2	-1.2	-0.66	-0.63	0	-5.46	0	0	0	0
hsa-miR-148a-5p	-5.58	-4.39	-5.32	0.56	-3.83	0.56	0.56	0.56	0.56	0.56	0.56	-4.33	-4.96	-4.05	-0.95	-0.97	-4.92	0.56	0.56	0.56	0.56	0.56	-4.79	-5.18	0.56	0.56	0.69	0.56	-4.31	-4.77	-5.01	-4.28	-5.17	-4.83	4	0.56	-4.08	-5.27	-4.45	0.56	0.25	0.42	-4.16	-4.93	0.56	-1.71	0.56	-2.11	-4.8	-0.34	-4.52	-4.05	-4.64	-5.17	0.56	0.56	-4.67	-2.98	-0.25	-4.87	-4.71	-0.53	0.56	-4.91	0.56	0.56	0.56	0.56
hsa-miR-1229-3p	-1.34	-4.92	-1.96	0.03	-4.35	0.03	0.03	0.03	0.03	0.03	0.03	-4.86	-0.8	-4.57	-1.99	-1.14	-0.36	0.03	0.03	0.03	0.03	3.7	-1.89	-1.1	0.03	0.03	-5.09	0.03	-1.51	-0.62	-0.8	-0.88	-1.04	-0.57	0.03	0.03	-4.61	-1.15	-1.66	4.86	-0.09	-0.27	-0.62	-1.67	0.03	-0.77	0.03	-0.88	-0.38	-0.16	0.39	0.36	-0.07	-1.1	5.23	4.89	-0.03	1.49	-4.17	-0.92	-0.64	-0.92	0.03	-1.61	0.03	0.03	0.03	0.03
hsa-let-7i-5p	0.33	-0.41	-0.3	-6	-0.54	2.9	0.12	-6	-1.57	-1.4	0.78	1.51	0.76	2.02	0.88	-0.3	-0.06	-1.29	-0.39	-1.4	-0.19	-6	1.04	1.74	4.48	2.92	1.29	5.19	0.14	0.4	0.51	1.21	1.37	0.08	2.84	3.76	2.98	2.46	0.58	-1.64	-3.34	-2.57	-0.25	-0.83	4.74	-1.41	-1.56	-0.14	0.68	-1.98	-0.68	0.2	-1.03	0.3	2.46	-6	0.73	0.26	2.08	0.94	0.05	-0.9	3.81	-0.05	3.14	-0.5	1.37	-1.37
hsa-miR-103a-3p	0.89	-0.26	0.15	-5.28	0.2	3.33	-0.11	-5.28	-0.93	-0.82	0.59	0.65	1.04	0.79	0.47	-0.53	0.04	-5.28	-1.07	-5.28	-0.82	-5.28	0.71	1.47	3.78	1.98	0.83	5.08	0.77	0.58	0.23	0.23	0.84	-0.59	1.98	3.54	2.12	1.75	0.58	-0.42	-2.69	-2.1	0.13	-0.38	5.33	-1.02	-5.28	0.04	0.12	-1.44	-0.83	0.27	-1.07	1	-0.05	-5.28	-0.04	-0.77	1.52	0.5	-0.34	0.34	4.01	0.21	3.69	-0.16	1.53	-0.39
hsa-miR-1228-5p	-5.17	-3.99	-4.91	0.96	-3.42	0.96	0.96	0.96	0.96	0.96	0.96	-3.93	-4.55	-3.64	-5.54	-0.2	-4.52	0.96	0.96	0.96	0.96	0.96	-4.39	-4.77	0.96	0.96	-4.16	0.96	-3.9	-4.37	-4.6	-3.87	-4.76	-4.42	0.96	0.96	-3.68	-4.87	-4.05	0.96	1.16	1.08	-3.76	-0.68	0.96	-0.77	0.96	-5.03	-4.4	-4.68	-4.11	-3.64	-4.24	-4.76	0.96	0.96	-4.26	-2.58	-3.24	-4.46	-4.3	0.2	0.96	-4.5	0.96	0.96	0.96	0.96
hsa-miR-1287-5p	-1.85	-4.95	-0.27	6.39	0.6	5.37	0	0	0	0	0	-4.89	-5.52	-4.61	-1.14	0.12	-5.48	0	0	0	0	0	-5.35	-5.74	0	0	-5.13	0	-4.87	-0.17	-5.57	-4.84	-5.72	-5.39	0	0	-4.64	-5.83	-5.01	0	0.34	0.76	1.28	-5.48	0	0.06	0	-5.99	-5.36	-1.63	-5.08	-4.61	-5.2	-0.14	0	0	-5.23	-3.54	-4.2	-5.43	-5.27	-0.2	0	0.45	0	0	0	0
