id	Group	hsa-miR-142-5p	hsa-miR-133b	hsa-miR-1470	hsa-miR-133a-3p	hsa-miR-101-3p	hsa-miR-1267	hsa-miR-125a-3p	hsa-miR-127-3p	hsa-miR-148b-3p	hsa-miR-132-3p	hsa-miR-138-2-3p	hsa-miR-129-2-3p	hsa-miR-140-5p	hsa-miR-144-5p	hsa-miR-129-1-3p	hsa-miR-125b-5p	hsa-miR-1202	hsa-miR-144-3p	hsa-miR-1249-3p	hsa-miR-1237-3p	hsa-miR-1296-3p	hsa-miR-130b-3p	hsa-miR-1238-5p	hsa-miR-148a-5p	hsa-miR-1229-3p	hsa-let-7i-5p	hsa-miR-103a-3p	hsa-miR-1228-5p	hsa-miR-1287-5p
SR11	SR	0.01	0	0	0.05	0	0.06	0.08	0	0.08	1.15	0.81	4.27	0	1.33	4.08	1.3	0	1.25	3.72	4.36	0.48	0	0	0.56	0.03	0.78	0.59	0.96	0
SR12	SR	-4.88	-4.89	-4.89	-4.84	-4.89	-4.83	-4.82	0.03	-4.82	-3.75	-4.09	-4.89	-4.89	-3.56	-4.88	-3.59	1.13	-3.65	0.47	0.68	-4.41	0.76	-4.89	-4.33	-4.86	1.51	0.65	-3.93	-4.89
SR13	SR	-5.5	-5.52	-0.25	-0.16	-5.52	-1.41	-0.8	0.35	-0.67	-4.37	-4.71	-0.99	-0.85	-4.18	-1.08	-4.21	1.31	-4.27	-0.14	-0.03	-5.04	1.29	-1.03	-4.96	-0.8	0.76	1.04	-4.55	-5.52
SR14	SR	-4.59	-4.61	-4.61	-4.56	-4.61	-4.55	-0.59	-4.61	-4.53	-3.46	-3.8	-4.61	-4.61	-3.27	-4.6	-3.3	2.1	-3.36	0.79	-4.61	-4.13	0.43	-4.61	-4.05	-4.57	2.02	0.79	-3.64	-4.61
SR15	SR	0.05	-6.5	-6.5	-6.45	0.45	-2.36	-1.97	-6.5	0.03	-1.03	-5.7	-2.03	1.34	2.13	-1.91	-0.89	2.47	1.56	0.02	-0.96	-6.02	1.35	-0.8	-0.95	-1.99	0.88	0.47	-5.54	-1.14
SR16	SR	-5.73	-5.74	-0.44	-0.54	-5.74	-5.68	-5.67	-5.74	-5.67	-4.6	-4.94	-0.91	-5.74	-4.41	-0.23	-4.44	1.2	-4.5	-0.1	-0.48	-1.15	-0.65	0.2	-0.97	-1.14	-0.3	-0.53	-0.2	0.12
SR17	SR	-5.47	-0.29	-0.34	-0.16	-5.48	-0.06	-5.41	-5.48	-0.91	-4.33	-4.68	-0.76	0.35	-0.34	-0.01	-4.18	-0.16	-4.24	0.04	0.51	-5	1.07	-0.2	-4.92	-0.36	-0.06	0.04	-4.52	-5.48
SR18	SR	0.01	0	0	0.05	0	0.06	0.08	0	0.08	1.15	0.81	0	0	1.33	0.01	1.3	0	1.25	-0.36	0	0.48	0	0	0.56	0.03	-1.29	-5.28	0.96	0
SR19	SR	0.01	0	0	0.05	0	0.06	0.08	0	0.08	1.15	0.81	0	0	1.33	0.01	1.3	0	1.25	-0.36	0	0.48	0	0	0.56	0.03	-0.39	-1.07	0.96	0
SR20	SR	0.01	0	0	0.05	0	0.06	0.08	0	0.08	1.15	0.81	0	0	1.33	0.01	1.3	0	1.25	-0.36	0	0.48	0	0	0.56	0.03	-1.4	-5.28	0.96	0
SR21	SR	0.01	0	0	0.05	0	0.06	0.08	0	0.08	1.15	0.81	4.35	0	1.33	4.4	1.3	0	1.25	-0.36	4.34	0.48	0	0	0.56	0.03	-0.19	-0.82	0.96	0
SR22	SR	0.01	0	0	0.05	0	0.06	0.08	0	0.08	1.15	0.81	4.13	0	1.33	4.3	1.3	0	1.25	3.77	4.17	0.48	0	0	0.56	3.7	-6	-5.28	0.96	0
SR23	SR	-5.34	-0.75	-0.28	-0.19	-5.35	-1	0	-5.35	-1.04	-4.21	-4.55	-1.03	-1.18	-4.02	-0.8	-4.05	1.02	-4.11	0.44	0.02	-4.87	1.21	-0.15	-4.79	-1.89	1.04	0.71	-4.39	-5.35
SR24	SR	-5.72	-0.56	-0.51	-5.68	-5.74	-5.68	-0.2	0.6	-0.02	0.15	-4.93	-1.38	-0.63	-4.4	-1.03	0.19	0.71	-4.49	0.02	-0.05	-5.26	2.18	-1.24	-5.18	-1.1	1.74	1.47	-4.77	-5.74
SRF1	SRF	0.01	0	0	0.05	0	0.06	0.08	0	0.08	1.15	0.81	0	0	1.33	0.01	1.3	0	1.25	4.63	0	0.48	3.94	0	0.56	0.03	4.48	3.78	0.96	0
SRf2	SRF	0.01	0	0	0.05	0	0.06	0.08	0	0.08	1.15	0.81	0	0	1.33	0.01	1.3	0	1.25	4.17	0	0.48	0	0	0.56	0.03	2.92	1.98	0.96	0
SRF3	SRF	-5.11	-5.13	-5.13	-5.07	-5.13	-5.07	-5.05	-5.13	-5.05	-3.98	-4.32	-5.13	-5.13	-3.79	-5.12	-3.82	1.3	-3.88	0.36	-5.13	-0.3	1.76	-5.13	0.69	-5.09	1.29	0.83	-4.16	-5.13
SRF4	SRF	0.01	0	0	0.05	0	0.06	0.08	0	0.08	1.15	0.81	0	0	1.33	0.01	1.3	0	1.25	5.19	0	0.48	6.06	0	0.56	0.03	5.19	5.08	0.96	0
SRF5	SRF	-4.85	-4.87	0.36	-4.81	-4.87	-4.81	-4.79	-4.87	-4.79	-3.72	-4.06	-0.69	-4.87	-3.53	-0.75	-3.56	0.62	-3.62	0.51	0.6	-4.38	0.89	-0.78	-4.31	-1.51	0.14	0.77	-3.9	-4.87
SRF6	SRF	-5.32	-1.26	-1.18	-1.22	-5.33	-5.27	-5.25	-0.71	-1.13	-4.18	-4.52	-0.9	-5.33	-4	-0.68	-4.03	-5.33	-4.08	-0.03	0.26	-4.85	1.14	0.12	-4.77	-0.62	0.4	0.58	-4.37	-0.17
SRF7	SRF	-5.55	-5.57	-1.28	-1.22	-5.57	-5.51	-5.49	-5.57	-1.15	-4.42	-4.76	-1.34	-5.57	-4.23	-1.02	-4.26	1.93	-4.32	-0.03	0.04	-5.08	0.98	-0.98	-5.01	-0.8	0.51	0.23	-4.6	-5.57
SRF8	SRF	-4.82	-4.84	-4.84	-4.78	-4.84	-4.78	-4.76	-4.84	-4.76	-3.69	-4.03	-0.31	-4.84	-3.5	-0.42	-3.53	0.73	-3.59	0.63	0.85	-4.35	0.43	0.63	-4.28	-0.88	1.21	0.23	-3.87	-4.84
SRF9	SRF	-5.71	-5.72	-5.72	-1.5	-5.72	-5.67	-1.58	-5.72	-0.67	-0.28	-1.6	-1.2	-1.27	-4.39	-1.35	-4.42	1.75	-4.48	0.22	-0.11	-5.24	1.53	-1.29	-5.17	-1.04	1.37	0.84	-4.76	-5.72
SRF10	SRF	-5.37	-5.39	0	-5.34	-5.39	-5.33	-5.31	-5.39	-5.31	-4.24	-4.58	-0.83	-5.39	-4.05	-0.8	-4.08	0.61	-4.14	0.05	0.39	-4.91	-0.99	-0.74	-4.83	-0.57	0.08	-0.59	-4.42	-5.39
SRF11	SRF	0.01	0	0	0.05	0	0.06	0.08	0	0.08	1.15	0.81	0	0	1.33	0.01	1.3	0	1.25	5.27	0	0.48	0	0	4	0.03	2.84	1.98	0.96	0
SRF12	SRF	0.01	0	0	0.05	0	0.06	0.08	0	0.08	1.15	0.81	0	0	1.33	0.01	1.3	0	1.25	3.62	0	0.48	4.01	0	0.56	0.03	3.76	3.54	0.96	0
SRF13	SRF	-4.63	0.01	-4.64	-4.59	-4.64	-4.58	0.33	0.78	-0.05	0.95	2.69	-4.64	0.17	-3.31	-4.63	-3.34	1.54	-3.4	0.84	-4.64	-4.16	3.47	-4.64	-4.08	-4.61	2.98	2.12	-3.68	-4.64
SRF14	SRF	-5.82	0.26	-1.57	-5.78	0.61	-5.77	-0.14	1.01	0.55	-0.07	-5.03	-1.3	1.38	1.11	-1.38	1.96	1.43	-4.59	0.02	-0.24	-5.35	2.4	-0.49	-5.27	-1.15	2.46	1.75	-4.87	-5.83
SRF15	SRF	-5	-5.01	-5.01	-4.96	-5.01	-4.95	-4.94	-0.18	-0.64	-3.87	-4.21	-0.68	0.72	-3.68	-0.82	-3.71	0.42	-3.77	0.27	0.33	-4.53	0.69	-0.64	-4.45	-1.66	0.58	0.58	-4.05	-5.01
SRF16	SRF	0.01	0	5.16	5.2	0	5.08	0.08	0	0.08	1.15	0.81	4.6	0	1.33	4.6	1.3	0	1.25	5.18	5.82	0.48	0	4.5	0.56	4.86	-1.64	-0.42	0.96	0
SS1	SS	-6.16	-6.18	-6.18	-6.12	-6.18	-6.12	-6.1	-6.18	-6.1	-5.03	-5.37	-1.58	-6.18	-4.84	-1.79	-4.87	-6.18	-4.93	-2.2	-1.91	0.36	-6.18	0.16	0.25	-0.09	-3.34	-2.69	1.16	0.34
SS2	SS	-5.97	-5.99	-5.99	-5.93	-5.99	-5.93	-5.91	-5.99	-5.91	-4.84	-5.18	-1.73	-5.99	-4.65	-1.56	-4.68	-5.99	-4.74	-1.72	-1.77	0.3	-5.99	0.25	0.42	-0.27	-2.57	-2.1	1.08	0.76
SS3	SS	-4.71	-4.72	-4.72	-4.67	-4.72	-4.66	-4.65	-4.72	-4.65	-3.58	-3.92	-4.72	-4.72	-3.39	-4.71	-3.42	-4.72	-3.48	-0.54	-4.72	-4.24	-4.72	-4.72	-4.16	-0.62	-0.25	0.13	-3.76	1.28
SS4	SS	-5.47	-5.48	-5.48	-5.43	-5.48	-5.43	-5.41	-5.48	-5.41	-4.34	-4.68	-5.48	-5.48	-4.15	-5.47	-4.18	-5.48	-4.24	-1.12	-5.48	-5	-1.09	0.09	-4.93	-1.67	-0.83	-0.38	-0.68	-5.48
SS5	SS	0.01	0	0	0.05	0	0.06	0.08	0	0.08	1.15	0.81	0	4.56	1.33	0.01	1.3	0	1.25	-0.36	0	0.48	4.45	0	0.56	0.03	4.74	5.33	0.96	0
SS6	SS	-5.7	-5.72	-5.72	-5.66	-5.72	-5.66	-5.64	-5.72	-5.64	-4.57	-0.43	-5.72	-5.72	-4.38	-5.71	-4.41	-5.72	-4.47	-6.07	-1.32	-5.24	-5.72	-0.14	-1.71	-0.77	-1.41	-1.02	-0.77	0.06
SS7	SS	0.01	0	0	0.05	0	0.06	0.08	0	0.08	1.15	0.81	0	0	1.33	0.01	1.3	0	1.25	-0.36	0	0.48	0	0	0.56	0.03	-1.56	-5.28	0.96	0
SS8	SS	-0.44	-0.86	-0.46	-0.61	0.29	-1.73	-5.92	-1.67	-0.64	-4.85	-5.19	-1.18	0.41	-4.66	-0.51	-4.69	0.38	0.72	-0.23	-0.04	-5.51	0.97	-0.25	-2.11	-0.88	-0.14	0.04	-5.03	-5.99
SS9	SS	-5.35	-5.36	-0.06	-0.26	-5.36	-1.16	-5.28	-1.19	-5.28	-4.21	-4.55	-0.72	-5.36	-4.03	-0.84	-4.05	0.38	-4.11	0.25	0.58	-4.88	0.28	0.04	-4.8	-0.38	0.68	0.12	-4.4	-5.36
SS10	SS	-5.63	-1.69	0.14	-1.39	-5.64	0.02	-5.57	-5.64	-5.57	-4.5	-1.52	-0.09	-5.64	-4.31	-0.2	-4.34	0.1	-4.4	-0.08	0.3	0.43	-5.64	0.18	-0.34	-0.16	-1.98	-1.44	-4.68	-1.63
SS11	SS	-5.06	-1.32	-0.05	0.13	-5.08	-0.01	-5	-5.08	-5	-3.93	-0.95	0.24	-5.08	-3.74	0.24	-3.77	-1.05	-3.83	0.43	0.92	-4.6	-0.8	-0.03	-4.52	0.39	-0.68	-0.83	-4.11	-5.08
SS12	SS	-4.59	-0.42	-0.65	-0.3	-4.61	-4.55	-4.53	-4.61	-0.57	-3.46	-3.8	0.22	-4.61	-3.27	-0.05	-3.3	-4.61	-3.36	0.75	1.25	-4.13	0.25	0.61	-4.05	0.36	0.2	0.27	-3.64	-4.61
SS13	SS	-5.19	-1.24	0.04	0.09	-5.2	0.01	-5.13	-5.2	-5.12	-4.05	-4.4	0.17	-5.2	-3.87	0.18	-3.9	-1.43	-3.96	0.14	0.66	-4.72	-0.82	0.1	-4.64	-0.07	-1.03	-1.07	-4.24	-5.2
SSF1	SSF	0.08	0.21	-1.44	-1.26	-1.26	-1.58	-5.65	-5.73	-0.19	-0.47	-4.92	-1.1	-0.34	0.34	-1.16	-0.19	1.06	-0.32	-0.25	0.12	-5.24	1.29	-0.2	-5.17	-1.1	0.3	1	-4.76	-0.14
SSF2	SSF	0.01	4.11	5.39	5.35	0	5.42	0.08	0	0.08	1.15	0.81	5.5	0	1.33	4.9	1.3	0	1.25	5.34	5.92	0.48	0	5.43	0.56	5.23	2.46	-0.05	0.96	0
SSF3	SSF	6.32	0	5.45	5.33	0	4.19	0.08	0	0.08	1.15	0.81	4.8	0	1.33	4.49	1.3	0	1.25	5.32	5.92	0.48	0	4.46	0.56	4.89	-6	-5.28	0.96	0
SSF4	SSF	-5.21	-0.42	-0.17	-0.05	-5.23	-0.02	-5.15	-5.23	-5.15	-4.08	0.43	0.22	-5.23	-3.89	-0.37	-3.92	0.07	-3.98	0.2	0.75	-4.75	-0.27	0.05	-4.67	-0.03	0.73	-0.04	-4.26	-5.23
SSF5	SSF	-3.53	0.33	1.46	1.84	-3.54	0.51	-3.47	-3.54	-3.46	-2.39	-2.74	1.71	-3.54	-2.21	1.04	-2.24	-3.54	-2.3	1.76	2.22	-3.06	-3.54	1.55	-2.98	1.49	0.26	-0.77	-2.58	-3.54
C1	C	-4.19	-4.2	-4.2	-4.15	-4.2	-4.14	-4.13	-4.2	-4.13	-3.06	-3.4	-4.2	0.32	-2.87	-4.19	-2.9	1.8	-2.96	1.03	-4.2	-3.72	1.97	-4.2	-0.25	-4.17	2.08	1.52	-3.24	-4.2
C2	C	-5.41	-0.36	-0.31	-0.33	-5.43	-1.44	-0.62	-1.43	-0.81	-4.28	-4.62	-1.01	-5.43	-4.09	-0.8	-4.12	1.27	-4.18	0.24	0.07	-4.95	1.03	-1.2	-4.87	-0.92	0.94	0.5	-4.46	-5.43
C3	C	-5.25	-5.27	0	-0.1	-5.27	-1.22	-5.19	-5.27	-5.19	-4.12	-4.46	-0.81	-5.27	-3.93	-0.73	-3.96	0.91	-4.02	0.29	0.46	-4.79	-0.46	-0.66	-4.71	-0.64	0.05	-0.34	-4.3	-5.27
C4	C	-2.22	-6.51	-6.51	-6.45	-1.56	-6.45	-6.43	-6.51	-1.42	-0.92	0.54	-6.51	0.11	-5.17	-6.5	-5.2	-0.85	-5.26	-1.33	-2.26	-1.81	0.01	-0.63	-0.53	-0.92	-0.9	0.34	0.2	-0.2
C5	C	0.01	0	0	0.05	0	0.06	0.08	0	0.08	1.15	0.81	0	0	1.33	0.01	1.3	0	1.25	-0.36	0	0.48	0	0	0.56	0.03	3.81	4.01	0.96	0
C6	C	-5.45	-1.15	-5.46	-5.41	-0.58	-5.41	-0.49	-5.46	-5.39	-4.32	-1.26	-5.46	-5.46	-4.13	-5.45	-4.16	-0.1	-4.22	0.03	-5.46	-4.98	1.53	-5.46	-4.91	-1.61	-0.05	0.21	-4.5	0.45
C7	C	0.01	0	0	0.05	0	0.06	0.08	0	0.08	1.15	0.81	0	0	1.33	0.01	1.3	0	1.25	-0.36	0	0.48	0	0	0.56	0.03	3.14	3.69	0.96	0
C8	C	0.01	0	0	0.05	0	0.06	0.08	0	0.08	1.15	0.81	0	0	1.33	0.01	1.3	0	1.25	-0.36	0	0.48	0	0	0.56	0.03	-0.5	-0.16	0.96	0
C9	C	0.01	0	0	0.05	0	0.06	0.08	0	0.08	1.15	0.81	0	0	1.33	0.01	1.3	0	1.25	-0.36	0	0.48	0	0	0.56	0.03	1.37	1.53	0.96	0
C10	C	0.01	0	0	0.05	0	0.06	0.08	0	0.08	1.15	0.81	0	0	1.33	0.01	1.3	0	1.25	-0.36	0	0.48	0	0	0.56	0.03	-1.37	-0.39	0.96	0
